"data.closeness" "data.threatphy" "data.empathy" "data.prejudice"
"1" 3.12415 12 9 36
"2" 0.1798 9 8 22
"3" 2.0992 12 7 36
"4" 3 12 6 24
"5" 2.062 5 5 20
"6" 0.434 12 9 36
"7" 3.0558 12 9 NA
"8" 0.05506 12 6 33
"9" 3 12 10 36
"10" 3.1488 10 6 36
"11" 2.10202 12 8 10
"12" 3 12 10 36
"13" 3 11 12 22
"14" 1.06117 5 7 20
"15" 3.2852 12 6 30
"16" 1.2694 8 4 29
"17" NA NA NA NA
"18" 1.3268 10 NA NA
"19" 3.049 8 9 21
"20" 1.25678 10 9 28
"21" 3.1736 9 9 20
"22" 2.03939 9 9 32
"23" 0 8 8 20
"24" 3 12 4 33
"25" 3.14711 12 12 16
"26" 3 9 6 20
"27" 0.0868 7 3 23
"28" 3.248 12 4 34
"29" 1.17554 8 9 22
"30" 1.44442 9 8 NA
"31" 0.35674 12 12 22
"32" 1.5518 11 9 18
"33" 3 10 6 36
"34" 0.20617 4 12 14
"35" 0 NA 10 NA
"36" 3.0558 9 9 27
"37" 2.0806 9 6 16
"38" 3.16175 11 7 16
"39" 3.0558 12 4 36
"40" 3.05223 9 7 NA
"41" 3.062 12 8 NA
"42" 3.1922 4 9 NA
"43" 3.04207 12 5 NA
"44" NA 10 9 23
"45" 3.1116 12 5 36
"46" 1.0806 NA 8 NA
"47" 1.1984 9 4 29
"48" 3 9 7 17
"49" 2.0496 10 6 NA
"50" 2 12 6 15
"51" 3 11 7 NA
"52" 2.1798 9 12 36
"53" 3 12 6 NA
"54" 2.46637 10 NA NA
"55" 3.18003 3 3 7
"56" 3 6 2 25
"57" NA 11 12 NA
"58" 2.07695 12 7 16
"59" 3 12 8 33
"60" 3 12 11 36
"61" 0.1922 9 6 36
"62" 1.3648 9 9 NA
"63" 3.0704 8 1 NA
"64" 3.0248 9 4 20
"65" 3.0248 12 5 33
"66" 3 12 11 32
"67" 0.26015 NA 6 NA
"68" 0.97246 12 5 36
"69" 0.4154 9 8 21
"70" 3 12 9 36
"71" NA NA NA NA
"72" 0.18891 10 5 22
"73" 3.2418 11 9 28
"74" 2.21509 9 6 20
"75" 0.5456 12 4 34
"76" 1.3348 9 5 18
"77" 1.28396 3 5 27
"78" 3 12 5 7
"79" 3.0868 12 8 35
"80" 2 7 8 19
"81" 3.1668 10 8 36
"82" 1.20537 5 9 7
"83" 3.0466 7 7 19
"84" 1.90675 4 5 22
"85" 2.14958 3 12 16
"86" 0.21032 6 12 20
"87" 0.30337 7 6 20
